Cilium compartment(s),Gene,Gene synonym,Ensembl,Gene description,Uniprot,Chromosome,Position,Protein class,Biological process,Molecular function,Disease involvement,Evidence,Subcellular location,Subcellular main location,Subcellular additional location,Reliability (IF),RNA tissue specificity,RNA tissue distribution,RNA tissue specificity score,RNA tissue specific nTPM,RNA single cell type specificity,RNA single cell type specific nCPM,Protein cell type specificity
Centriolar satellite,CENPU,CENP-50; CENP-U; KLIP1; MLF1IP; PBIP1,ENSG00000151725,Centromere protein U,Q71F23,4,184694085-184734130,Predicted intracellular proteins,Host-virus interaction; Transcription; Transcription regulation,Repressor,,Evidence at protein level,Nucleoplasm; Centriolar satellite,Nucleoplasm; Centriolar satellite,,Supported,Tissue enhanced,Detected in many,,"{'bone marrow': '59.0', 'testis': '27.6'}",Cell type enhanced,"{'Differentiating spermatogonia': '173.2', 'Early primary spermatocytes': '469.1', 'Early spermatids': '417.1', 'Erythrocyte progenitors': '230.2', 'Late primary spermatocytes': '809.4', 'Late spermatids': '1614.1', 'Neutrophils': '188.5', 'Oocytes': '239.5'}",Cell type enriched
Basal body,CEP44,KIAA1712,ENSG00000164118,Centrosomal protein 44,Q9C0F1,4,174283730-174333380,Predicted intracellular proteins,,,,Evidence at protein level,Basal body; Cytosol,Basal body; Cytosol,,Approved,Low tissue specificity,Detected in all,,,Low cell type specificity,,Low cell type specificity
Primary cilium,CFAP97,DKFZp434F1728; hmw; KIAA1430,ENSG00000164323,Cilia and flagella associated protein 97,Q9P2B7,4,185159665-185209504,Predicted intracellular proteins,,,,Evidence at protein level,Nucleoli fibrillar center; Primary cilium; Cytosol,Nucleoli fibrillar center,Primary cilium; Cytosol,Approved,Low tissue specificity,Detected in all,,,Cell type enhanced,"{'Early spermatids': '244.4', 'Late primary spermatocytes': '462.2'}",Cell type enriched
Primary cilium; Primary cilium tip,CNGA1,CNCG; CNCG1; CNG1; RCNC1; RCNCa; RP49,ENSG00000198515,Cyclic nucleotide gated channel subunit alpha 1,P29973,4,47935977-48016681,Disease related genes; Human disease related genes; Potential drug targets; Predicted intracellular proteins; Predicted membrane proteins; Transporters; Voltage-gated ion channels,Calcium transport; Ion transport; Sensory transduction; Sodium transport; Transport; Vision,Calcium channel; Ion channel; Ligand-gated ion channel; Sodium channel,Disease variant; Retinitis pigmentosa,Evidence at protein level,Nucleoplasm; Vesicles; Plasma membrane; Mitotic spindle; Primary cilium; Primary cilium tip; Mid piece; Principal piece,Nucleoplasm; Vesicles; Mid piece; Principal piece,Plasma membrane; Mitotic spindle; Primary cilium; Primary cilium tip,Uncertain,Tissue enriched,Detected in many,11,{'retina': '244.8'},Group enriched,"{'Esophageal apical cells': '336.9', 'Rod photoreceptor cells': '1024.5'}",Not detected
Centrosome,CPE,,ENSG00000109472,Carboxypeptidase E,P16870,4,165361194-165498547,Disease related genes; Enzymes; Plasma proteins; Potential drug targets; Predicted intracellular proteins,,Carboxypeptidase; Hydrolase; Metalloprotease; Protease,Disease variant; Hypogonadotropic hypogonadism; Intellectual disability; Obesity,Evidence at protein level,Vesicles; Centrosome,Vesicles; Centrosome,,Approved,Tissue enhanced,Detected in all,,"{'brain': '1047.2', 'retina': '687.1'}",Cell type enhanced,"{'Astrocytes': '1098.3', 'Bergmann glia': '1119.3', 'Cone photoreceptor cells': '952.3', 'Corticotrophs': '711.1', 'Lactotrophs': '1539.0', 'Pancreatic islet cells': '2923.3', 'Prostatic glandular cells': '1636.6', 'Somatotrophs': '2673.1', 'Thyrotrophs': '737.2'}",Cell type enriched
Centrosome,CRMP1,DPYSL1; DRP-1,ENSG00000072832,Collapsin response mediator protein 1,Q14194,4,5748084-5893086,Predicted intracellular proteins,,,,Evidence at protein level,Centrosome; Cytosol,Centrosome,Cytosol,Supported,Tissue enhanced,Detected in many,,"{'brain': '82.7', 'pituitary gland': '63.6', 'retina': '52.8'}",Cell type enhanced,"{'Brain inhibitory neurons': '83.2', 'Corticotrophs': '105.7', 'Epicardial cells': '120.5', 'Gonadotrophs': '107.9', 'Lactotrophs': '124.2', 'Loop of henle epithelial cells': '84.2', 'Müller glia': '127.0', 'Other brain neurons': '94.8', 'Retinal amacrine cells': '141.2', 'Retinal bipolar cells': '216.7', 'Retinal ganglion cells': '119.7', 'Retinal horizontal cells': '268.5', 'Thyrotrophs': '99.1'}",Group enriched
Centrosome,DDX60,FLJ20035,ENSG00000137628,DExD/H-box helicase 60,Q8IY21,4,168216291-168318883,Enzymes; Predicted intracellular proteins,Antiviral defense; Immunity; Innate immunity,Helicase; Hydrolase; RNA-binding,,Evidence at protein level,Intermediate filaments; Centrosome; Cytosol,Cytosol,Intermediate filaments; Centrosome,Supported,Tissue enhanced,Detected in all,,{'stomach 1': '38.5'},Cell type enriched,{'Foveolar cells': '404.9'},Cell type enhanced
Centrosome,ENSG00000288637,,ENSG00000288637,Novel protein,,4,153152435-153415081,Predicted intracellular proteins,,,,Evidence at transcript level,Centrosome,Centrosome,,Approved,Not detected,Not detected,,,Cell type enhanced,"{'Endometrial ciliated cells': '6.8', 'Endometrial glandular cells': '5.0', 'Endometrial luminal cells': '11.7', 'Oocytes': '9.2', 'Retinal horizontal cells': '4.0', 'Tuft cells': '23.1'}",
Basal body; Primary cilium,EVC,DWF-1; EVC1,ENSG00000072840,EvC ciliary complex subunit 1,P57679,4,5711201-5814305,Disease related genes; Human disease related genes; Predicted membrane proteins,,,Ciliopathy; Disease variant; Dwarfism; Ectodermal dysplasia,Evidence at protein level,Nucleoplasm; Primary cilium; Basal body; Cytosol,Nucleoplasm; Basal body,Primary cilium; Cytosol,Approved,Low tissue specificity,Detected in many,,,Cell type enhanced,"{'Distal convoluted tubule cells': '71.4', 'Fibro-adipogenic progenitors': '73.0', 'Loop of henle epithelial cells': '216.8', 'Myosatellite cells': '97.2', 'Proximal tubule cells': '162.8', 'Renal collecting duct intercalated cells': '60.1'}",Group enriched
Basal body; Primary cilium; Primary cilium tip,EVC2,LBN,ENSG00000173040,EvC ciliary complex subunit 2,Q86UK5,4,5542772-5709548,Disease related genes; Human disease related genes; Predicted membrane proteins,,,Ciliopathy; Disease variant; Dwarfism; Ectodermal dysplasia,Evidence at protein level,Nucleoplasm; Plasma membrane; Microtubules; Cytokinetic bridge; Primary cilium; Primary cilium tip; Basal body; Cytosol,Plasma membrane; Microtubules; Cytokinetic bridge; Primary cilium,Nucleoplasm; Primary cilium tip; Basal body; Cytosol,Approved,Low tissue specificity,Detected in many,,,Cell type enhanced,"{'Fibro-adipogenic progenitors': '109.6', 'Leydig cells': '56.6', 'Loop of henle epithelial cells': '58.1', 'Mesothelial cells': '56.9', 'Myosatellite cells': '61.3', 'Proximal tubule cells': '58.9', 'Renal collecting duct intercalated cells': '57.7'}",Not detected
Basal body; Centrosome; Primary cilium,FHDC1,INF1; KIAA1727,ENSG00000137460,FH2 domain containing 1,Q9C0D6,4,152936323-152979671,Predicted intracellular proteins,Cilium biogenesis/degradation,Actin-binding,,Evidence at protein level,Primary cilium; Centrosome; Basal body,Centrosome; Basal body,Primary cilium,Uncertain,Tissue enhanced,Detected in many,,"{'parathyroid gland': '16.5', 'thyroid gland': '14.7'}",Cell type enhanced,"{'Alveolar cells type 2': '110.6', 'Prostatic glandular cells': '54.8', 'Syncytiotrophoblasts': '196.3'}",Group enriched
Centriolar satellite,FNIP2,FNIPL; KIAA1450; MAPO1,ENSG00000052795,Folliculin interacting protein 2,Q9P278,4,158769026-158908050,Predicted intracellular proteins,DNA damage,,,Evidence at protein level,Centriolar satellite; Cytosol,Cytosol,Centriolar satellite,Supported,Low tissue specificity,Detected in all,,,Cell type enhanced,"{'cDC': '452.5', 'Endometrial glandular cells': '424.9', 'Macrophages': '530.6', 'monocytes': '610.2', 'Renal collecting duct intercalated cells': '426.6'}",Cell type enriched
Basal body; Primary cilium,HAUS3,C4orf15; dgt3; IT1; MGC4701,ENSG00000214367,HAUS augmin like complex subunit 3,Q68CZ6,4,2227464-2242133,Essential proteins; Predicted intracellular proteins,Cell cycle; Cell division; Mitosis,,,Evidence at protein level,Microtubules; Cytokinetic bridge; Mitotic spindle; Primary cilium; Basal body,Microtubules; Primary cilium,Cytokinetic bridge; Mitotic spindle; Basal body,Approved,Tissue enhanced,Detected in all,,{'bone marrow': '25.4'},Cell type enhanced,"{'Astrocytes': '3.1', 'Bergmann glia': '3.7', 'Brain excitatory neurons': '5.0', 'Brain inhibitory neurons': '3.3', 'Ependymal cells': '1.6', 'Microglia': '4.0', 'Oligodendrocyte progenitor cells': '2.7', 'Oligodendrocytes': '2.5', 'Other brain neurons': '3.6'}",Cell type enhanced
Centrosome,HSPA4L,APG-1; HSPH3; Osp94,ENSG00000164070,Heat shock protein family A (Hsp70) member 4 like,O95757,4,127781821-127840733,Plasma proteins; Predicted intracellular proteins,Stress response,Chaperone,,Evidence at protein level,Centrosome; Cytosol; Perinuclear theca; Calyx,Cytosol,Centrosome; Perinuclear theca; Calyx,Approved,Tissue enriched,Detected in all,4,{'testis': '101.7'},Cell type enhanced,"{'Early spermatids': '539.2', 'Late primary spermatocytes': '409.6', 'Late spermatids': '1609.1', 'Pancreatic duct cells': '240.3'}",Low cell type specificity
Centrosome,INPP4B,,ENSG00000109452,Inositol polyphosphate-4-phosphatase type II B,O15327,4,142023160-142847432,Enzymes; Metabolic proteins; Predicted intracellular proteins; Predicted membrane proteins,Lipid metabolism,Hydrolase,,Evidence at protein level,Centrosome,Centrosome,,Approved,Low tissue specificity,Detected in all,,,Cell type enhanced,"{'Cardiomyocytes': '881.1', 'Decidual stromal cells': '811.9', 'Endometrial stromal cells': '1103.0', 'Hematopoietic stem cells': '2670.7', 'Megakaryocyte progenitors': '1008.6', 'Melanocytes': '1699.8', 'Other brain neurons': '859.0', 'Pericytes': '1081.0', 'Urothelial cells': '816.5'}",Cell type enhanced
Basal body,INTU,CPLANE4; KIAA1284; PDZD6; PDZK6,ENSG00000164066,Inturned planar cell polarity protein,Q9ULD6,4,127623271-127726737,Disease related genes; Human disease related genes; Predicted intracellular proteins,Cilium biogenesis/degradation,Developmental protein,Ciliopathy; Disease variant,Evidence at protein level,Vesicles; Basal body; Cytosol,Basal body,Vesicles; Cytosol,Approved,Tissue enhanced,Detected in many,,{'retina': '12.2'},Cell type enhanced,"{'Astrocytes': '290.9', 'Choroid plexus epithelial cells': '179.1', 'Ependymal cells': '422.4', 'Pituicytes/FSCs': '196.4', 'Thyrotrophs': '190.6'}",Cell type enriched
Centrosome,JADE1,JADE-1; PHF17,ENSG00000077684,Jade family PHD finger 1,Q6IE81,4,128809700-128875224,Predicted intracellular proteins,Apoptosis; Transcription; Transcription regulation,Activator,,Evidence at protein level,Nucleoplasm; Centrosome,Nucleoplasm,Centrosome,Supported,Low tissue specificity,Detected in all,,,Cell type enhanced,"{'Pituicytes/FSCs': '247.7', 'Renal collecting duct intercalated cells': '426.4', 'Salivary ionocytes': '241.7'}",Group enriched
Centrosome,LGI2,FLJ10675; KIAA1916,ENSG00000153012,Leucine rich repeat LGI family member 2,Q8N0V4,4,24998847-25030946,Plasma proteins; Predicted secreted proteins,,,,Evidence at protein level,Centrosome,Centrosome,,Uncertain,Tissue enriched,Detected in many,9,{'parathyroid gland': '120.3'},Cell type enhanced,"{'Brain inhibitory neurons': '17.7', 'Hofbauer cells': '8.7', 'Loop of henle epithelial cells': '22.4', 'Macrophages': '13.0', 'Medullary thymic epithelial cells': '7.2', 'Oligodendrocyte progenitor cells': '10.4', 'Other brain neurons': '8.2', 'Retinal ganglion cells': '15.5', 'Smooth muscle cells': '33.5', 'Vascular smooth muscle cells': '14.5'}",Group enriched
Basal body,LRAT,LCA14,ENSG00000121207,Lecithin retinol acyltransferase,O95237,4,154626945-154753120,Disease related genes; Enzymes; Human disease related genes; Metabolic proteins; Potential drug targets; Predicted intracellular proteins; Predicted membrane proteins,Lipid metabolism; Sensory transduction; Vision,Acyltransferase; Transferase,Disease variant; Leber congenital amaurosis,Evidence at protein level,Endoplasmic reticulum; Golgi apparatus; Plasma membrane; Basal body,Endoplasmic reticulum; Golgi apparatus,Plasma membrane; Basal body,Approved,Tissue enhanced,Detected in some,,"{'brain': '1.9', 'liver': '2.0'}",Cell type enriched,{'Retinal pigment epithelial cells': '1956.7'},Cell type enriched
Centrosome; Primary cilium; Primary cilium transition zone,MAP9,ASAP; FLJ21159,ENSG00000164114,Microtubule associated protein 9,Q49MG5,4,155342658-155376970,Predicted intracellular proteins,Cell cycle; Cell division; Mitosis,,,Evidence at protein level,Nuclear speckles; Primary cilium; Primary cilium transition zone; Centrosome,Primary cilium; Primary cilium transition zone,Nuclear speckles; Centrosome,Approved,Tissue enhanced,Detected in many,,{'parathyroid gland': '31.9'},Cell type enhanced,"{'Endometrial ciliated cells': '132.3', 'Fallopian tube ciliated cells': '219.4', 'Respiratory ciliated cells': '237.2'}",Group enriched
Basal body; Centrosome; Primary cilium,NAA11,ARD1B; ARD2; hARD2,ENSG00000156269,"N-alpha-acetyltransferase 11, NatA catalytic subunit",Q9BSU3,4,79225694-79326061,Enzymes; Metabolic proteins; Predicted intracellular proteins,,Acyltransferase; Transferase,,Evidence at protein level,Nucleoplasm; Golgi apparatus; Primary cilium; Centrosome; Basal body; Cytosol,Golgi apparatus; Centrosome; Cytosol,Nucleoplasm; Primary cilium; Basal body,Supported,Group enriched,Detected in some,11,"{'placenta': '3.9', 'testis': '5.8'}",Cell type enhanced,"{'Astrocytes': '26.0', 'Cardiomyocytes': '25.8', 'Cytotrophoblasts': '56.0', 'Differentiating spermatogonia': '21.9', 'Early primary spermatocytes': '42.0', 'Early spermatids': '43.8', 'Ependymal cells': '36.1', 'Epicardial cells': '52.3', 'Extravillous trophoblasts': '29.2', 'Fibro-adipogenic progenitors': '43.6', 'Fibroblasts': '30.9', 'Late primary spermatocytes': '67.6', 'Late spermatids': '40.4', 'Migrating cytotrophoblasts': '35.6', 'Syncytiotrophoblasts': '31.9', 'Undifferentiated spermatogonia': '26.0', 'Vascular smooth muscle cells': '33.9'}",Cell type enriched
Primary cilium,NAA15,FLJ13340; NARG1; NATH; TBDN100,ENSG00000164134,"N-alpha-acetyltransferase 15, NatA auxiliary subunit",Q9BXJ9,4,139301446-139420033,Disease related genes; Essential proteins; Human disease related genes; Metabolic proteins; Predicted intracellular proteins,Angiogenesis; Differentiation; Transcription; Transcription regulation,Developmental protein,Disease variant; Intellectual disability,Evidence at protein level,Nuclear bodies; Vesicles; Microtubules; Cytokinetic bridge; Mitotic spindle; Primary cilium; Cytosol,Cytosol,Nuclear bodies; Vesicles; Microtubules; Cytokinetic bridge; Mitotic spindle; Primary cilium,Approved,Low tissue specificity,Detected in all,,,Low cell type specificity,,Low cell type specificity
Centriolar satellite; Primary cilium,NEK1,KIAA1901; NY-REN-55,ENSG00000137601,NIMA related kinase 1,Q96PY6,4,169369704-169612632,Disease related genes; Enzymes; Human disease related genes; Potential drug targets; Predicted intracellular proteins,Cell cycle; Cell division; Cilium biogenesis/degradation; Mitosis,Kinase; Serine/threonine-protein kinase; Transferase; Tyrosine-protein kinase,Amyotrophic lateral sclerosis; Ciliopathy; Neurodegeneration,Evidence at protein level,Nucleoplasm; Primary cilium; Centriolar satellite; Cytosol,Nucleoplasm,Primary cilium; Centriolar satellite; Cytosol,Supported,Low tissue specificity,Detected in all,,,Cell type enhanced,"{'Endometrial ciliated cells': '458.3', 'Somatotrophs': '447.8'}",Cell type enhanced
Centrosome,PDCL2,GCPHLP,ENSG00000163440,Phosducin like 2,Q8N4E4,4,55556519-55592245,Predicted intracellular proteins,Differentiation; Spermatogenesis,,,Evidence at protein level,Microtubules; Centrosome,Microtubules,Centrosome,Approved,Tissue enriched,Detected in single,206,{'testis': '61.8'},Group enriched,"{'Early spermatids': '1630.0', 'Late primary spermatocytes': '529.8', 'Late spermatids': '904.2'}",Group enriched
Basal body,PDE5A,,ENSG00000138735,Phosphodiesterase 5A,O76074,4,119494397-119628804,Enzymes; FDA approved drug targets; Metabolic proteins; Predicted intracellular proteins,,Allosteric enzyme; Hydrolase,FDA approved drug targets,Evidence at protein level,Basal body; Cytosol,Cytosol,Basal body,Approved,Low tissue specificity,Detected in all,,,Cell type enhanced,"{'Adipocytes': '362.0', 'Cardiomyocytes': '588.8', 'Epicardial cells': '498.0', 'Fibro-adipogenic progenitors': '334.3', 'Myonuclei': '310.9', 'Peritubular myoid cells': '329.7', 'Platelets': '551.1', 'Vascular smooth muscle cells': '333.2'}",Cell type enhanced
Basal body,PDE6B,CSNB3; CSNBAD2; PDEB; rd1; RP40,ENSG00000133256,Phosphodiesterase 6B,P35913,4,625573-670782,Disease related genes; Enzymes; Human disease related genes; Metabolic proteins; Predicted intracellular proteins,Sensory transduction; Vision,Hydrolase,Congenital stationary night blindness; Disease variant; Retinitis pigmentosa,Evidence at protein level,Vesicles; Basal body; Cytosol,Basal body; Cytosol,Vesicles,Uncertain,Tissue enriched,Detected in many,14,{'retina': '357.2'},Cell type enriched,{'Rod photoreceptor cells': '628.1'},Not detected
Primary cilium,PDGFRA,CD140a; GAS9; PDGFR2,ENSG00000134853,Platelet derived growth factor receptor alpha,P16234,4,54229280-54298245,Cancer-related genes; CD markers; Disease related genes; Enzymes; FDA approved drug targets; Human disease related genes; Plasma proteins; Predicted intracellular proteins; Predicted membrane proteins; RAS pathway related proteins,Chemotaxis; Host-virus interaction,Developmental protein; Kinase; Receptor; Transferase; Tyrosine-protein kinase,Cancer-related genes; Disease variant; FDA approved drug targets; Proto-oncogene,Evidence at protein level,Nucleoplasm; Nuclear bodies; Plasma membrane; Cell Junctions; Primary cilium; Cytosol,Nucleoplasm; Plasma membrane; Cell Junctions,Nuclear bodies; Primary cilium; Cytosol,Approved,Tissue enhanced,Detected in all,,{'ovary': '188.3'},Group enriched,"{'Decidual stromal cells': '203.7', 'Endometrial stromal cells': '261.4', 'Fibroblasts': '245.6', 'Hepatic stellate cells': '154.9', 'Leydig cells': '301.5', 'Oligodendrocyte progenitor cells': '296.2', 'Ovarian stromal cells': '108.6', 'Peritubular myoid cells': '333.9'}",Cell type enhanced
Primary cilium tip,PITX2,ARP1; Brx1; IGDS; IHG2; IRID2; Otlx2; RGS; RIEG; RIEG1; RS,ENSG00000164093,Paired like homeodomain 2,Q99697,4,110617423-110642123,Disease related genes; Human disease related genes; Predicted intracellular proteins; Transcription factors,,Developmental protein; DNA-binding,Disease variant; Peters anomaly,Evidence at protein level,Nucleoplasm; Primary cilium tip,Nucleoplasm,Primary cilium tip,Enhanced,Tissue enhanced,Detected in many,,"{'placenta': '39.5', 'skeletal muscle': '40.4', 'tongue': '26.2', 'urinary bladder': '26.9'}",Cell type enhanced,"{'Basal keratinocytes': '40.2', 'Enterocytes': '42.4', 'Epididymal efferent duct absorptive cells': '37.3', 'Fibroblasts': '53.2', 'Gonadotrophs': '90.1', 'Myonuclei': '34.7', 'Myosatellite cells': '54.2', 'Paneth cells': '27.1', 'Pituitary stem cells': '52.1', 'Smooth muscle cells': '27.6', 'Suprabasal keratinocytes': '48.3', 'Thymic myoid cells': '93.8', 'Thyrotrophs': '65.5'}",Not detected
Centrosome,PLK4,Sak; STK18,ENSG00000142731,Polo like kinase 4,O00444,4,127880893-127899224,Disease related genes; Enzymes; Essential proteins; Human disease related genes; Potential drug targets; Predicted intracellular proteins,,Kinase; Serine/threonine-protein kinase; Transferase,Dwarfism,Evidence at protein level,Centrosome; Cytosol,Centrosome,Cytosol,Supported,Group enriched,Detected in many,5,"{'bone marrow': '21.3', 'lymphoid tissue': '13.4', 'testis': '21.2'}",Cell type enhanced,"{'Early primary spermatocytes': '28.7', 'Early spermatids': '63.2', 'Erythrocyte progenitors': '61.9', 'Late primary spermatocytes': '104.4', 'Late spermatids': '139.2', 'Megakaryocyte progenitors': '34.8', 'Monocyte progenitors': '47.4', 'Neutrophil progenitors': '32.2', 'Respiratory deuterosomal cells': '69.5'}",Not detected
Primary cilium,PPID,CYP-40; CypD,ENSG00000171497,Peptidylprolyl isomerase D,Q08752,4,158709127-158723396,Enzymes; Metabolic proteins; Plasma proteins; Predicted intracellular proteins,Apoptosis; Host-virus interaction; Protein transport; Transport,Chaperone; Isomerase; Rotamase,,Evidence at protein level,Nucleoplasm; Nucleoli; Nucleoli rim; Primary cilium; Cytosol,Cytosol,Nucleoplasm; Nucleoli; Nucleoli rim; Primary cilium,Supported,Low tissue specificity,Detected in all,,,Low cell type specificity,,Low cell type specificity
Basal body; Primary cilium; Primary cilium transition zone,PTPN13,PTP-BAS; PTP-BL; PTP1E; PTPL1,ENSG00000163629,Protein tyrosine phosphatase non-receptor type 13,Q12923,4,86594315-86815171,Cancer-related genes; Enzymes; Predicted intracellular proteins,,Hydrolase; Protein phosphatase,Cancer-related genes,Evidence at protein level,Plasma membrane; Primary cilium; Primary cilium transition zone; Basal body; Cytosol,Plasma membrane; Primary cilium,Primary cilium transition zone; Basal body; Cytosol,Approved,Tissue enhanced,Detected in many,,{'retina': '115.1'},Cell type enhanced,"{'Cone photoreceptor cells': '877.7', 'Ocular epithelial cells': '1473.7', 'Podocytes': '1754.6', 'Renal connecting tubule cells': '786.2', 'Retinal pigment epithelial cells': '1381.2', 'Rod photoreceptor cells': '1490.4'}",Cell type enhanced
Basal body,SCLT1,FLJ30655; hCAP-1A,ENSG00000151466,Sodium channel and clathrin linker 1,Q96NL6,4,128864921-129093600,Predicted intracellular proteins,,,,Evidence at protein level,Microtubules; Basal body; Cytosol,Basal body; Cytosol,Microtubules,Approved,Low tissue specificity,Detected in all,,,Cell type enhanced,{'Neutrophils': '1017.4'},Cell type enriched
Primary cilium,SEPTIN11,FLJ10849; SEPT11,ENSG00000138758,Septin 11,Q9NVA2,4,76949751-77040384,Disease related genes; Plasma proteins; Predicted intracellular proteins,Cell cycle; Cell division,,,Evidence at protein level,Primary cilium; Cytosol; Mid piece; Principal piece; Annulus,Cytosol,Primary cilium; Mid piece; Principal piece; Annulus,Approved,Low tissue specificity,Detected in all,,,Cell type enhanced,"{'Extravillous trophoblasts': '462.5', 'Hepatic stellate cells': '387.3', 'Platelets': '517.8', 'Podocytes': '463.8'}",Cell type enhanced
Basal body; Centrosome; Primary cilium tip,SLAIN2,FLJ21611; KIAA1458,ENSG00000109171,SLAIN motif family member 2,Q9P270,4,48341529-48426201,Predicted intracellular proteins,,,,Evidence at protein level,Primary cilium tip; Centrosome; Basal body; Cytosol,Centrosome; Cytosol,Primary cilium tip; Basal body,Supported,Low tissue specificity,Detected in all,,,Cell type enhanced,{'Late spermatids': '563.9'},Cell type enhanced
Basal body; Centriolar satellite,TACC3,ERIC-1; ERIC1; maskin; Tacc4,ENSG00000013810,Transforming acidic coiled-coil containing protein 3,Q9Y6A5,4,1712858-1745171,Predicted intracellular proteins,Cell cycle; Cell division; Mitosis,,,Evidence at protein level,Golgi apparatus; Mitotic spindle; Centriolar satellite; Basal body; Cytosol,Centriolar satellite; Cytosol,Golgi apparatus; Mitotic spindle; Basal body,Approved,Tissue enhanced,Detected in all,,"{'bone marrow': '53.1', 'lymphoid tissue': '48.0', 'testis': '54.6'}",Cell type enhanced,"{'Cardiomyocytes': '148.1', 'Early spermatids': '113.3', 'Erythrocyte progenitors': '117.7', 'Late primary spermatocytes': '224.2', 'Late spermatids': '154.5', 'Megakaryocytes': '197.8', 'Monocyte progenitors': '201.6', 'Neutrophil progenitors': '101.5', 'Neutrophils': '186.2', 'Oocytes': '179.6', 'Platelets': '255.4'}",Group enriched
Basal body; Centrosome,TAPT1,FLJ90013,ENSG00000169762,Transmembrane anterior posterior transformation 1,Q6NXT6,4,16160505-16227410,Disease related genes; Human disease related genes; Predicted membrane proteins,Chondrogenesis; Cilium biogenesis/degradation; Differentiation; Host-virus interaction; Osteogenesis,Developmental protein; Receptor,Ciliopathy; Disease variant,Evidence at protein level,Nucleoplasm; Centrosome; Basal body; Cytosol,Centrosome; Basal body,Nucleoplasm; Cytosol,Supported,Low tissue specificity,Detected in all,,,Cell type enhanced,"{'Late spermatids': '299.4', 'Myonuclei': '204.1', 'Neutrophil progenitors': '230.0'}",Low cell type specificity
Basal body; Primary cilium,TDO2,TDO; TPH2,ENSG00000151790,"Tryptophan 2,3-dioxygenase",P48775,4,155854738-155920406,Disease related genes; Enzymes; Human disease related genes; Metabolic proteins; Potential drug targets; Predicted intracellular proteins,Tryptophan catabolism,Dioxygenase; Oxidoreductase,Disease variant,Evidence at protein level,Plasma membrane; Primary cilium; Basal body; Cytosol,Plasma membrane; Cytosol,Primary cilium; Basal body,Approved,Tissue enriched,Detected in some,47,{'liver': '739.5'},Cell type enriched,{'Hepatocytes': '166.6'},Cell type enriched
Centrosome,THAP6,MGC30052,ENSG00000174796,THAP domain containing 6,Q8TBB0,4,75513946-75550473,Predicted intracellular proteins; Transcription factors,,DNA-binding,,Evidence at protein level,Nucleoplasm; Centrosome,Centrosome,Nucleoplasm,Approved,Low tissue specificity,Detected in all,,,Cell type enhanced,"{'Cardiomyocytes': '126.7', 'Early spermatids': '175.1', 'Late primary spermatocytes': '105.1'}",Not detected
Centrosome,TRIM2,CMT2R; KIAA0517; RNF86,ENSG00000109654,Tripartite motif containing 2,Q9C040,4,153152163-153339319,Disease related genes; Enzymes; Human disease related genes; Potential drug targets; Predicted intracellular proteins,Ubl conjugation pathway,Transferase,Charcot-Marie-Tooth disease; Disease variant; Neurodegeneration; Neuropathy,Evidence at protein level,Centrosome,Centrosome,,Uncertain,Tissue enhanced,Detected in many,,{'brain': '62.9'},Cell type enhanced,"{'Astrocytes': '301.8', 'Bergmann glia': '274.5', 'Brain excitatory neurons': '321.3', 'Brain inhibitory neurons': '223.7', 'Choroid plexus epithelial cells': '359.8', 'Distal convoluted tubule cells': '413.6', 'Ependymal cells': '492.3', 'Loop of henle epithelial cells': '370.1', 'Oligodendrocyte progenitor cells': '363.3', 'Oligodendrocytes': '1616.1', 'Other brain neurons': '295.8', 'Papillary tip epithelial cells': '170.0', 'Renal collecting duct intercalated cells': '509.2', 'Renal collecting duct principal cells': '223.1', 'Renal connecting tubule cells': '276.8'}",Cell type enhanced
Centrosome,USP38,HP43.8KD; KIAA1891,ENSG00000170185,Ubiquitin specific peptidase 38,Q8NB14,4,143184917-143223874,Enzymes; Metabolic proteins; Predicted intracellular proteins,Ubl conjugation pathway,Hydrolase; Protease; Thiol protease,,Evidence at protein level,Nucleoplasm; Centrosome; Cytosol,Nucleoplasm,Centrosome; Cytosol,Approved,Tissue enhanced,Detected in many,,{'bone marrow': '16.1'},Cell type enhanced,{'Endometrial glandular cells': '161.7'},Group enriched
Basal body; Centrosome,WDR19,DYF-2; FAP66; FLJ23127; IFT144; KIAA1638; NPHP13; ORF26; Oseg6; Pwdmp,ENSG00000157796,WD repeat domain 19,Q8NEZ3,4,39182504-39285810,Disease related genes; Human disease related genes; Predicted intracellular proteins,Cilium biogenesis/degradation,,Ciliopathy; Disease variant; Ectodermal dysplasia; Leber congenital amaurosis; Nephronophthisis; Senior-Loken syndrome,Evidence at protein level,Nucleoplasm; Centrosome; Basal body; Cytosol; Mid piece; Principal piece,Nucleoplasm; Mid piece,Centrosome; Basal body; Cytosol; Principal piece,Uncertain,Low tissue specificity,Detected in all,,,Cell type enhanced,"{'Ependymal cells': '212.7', 'Respiratory ciliated cells': '209.9', 'Somatotrophs': '184.2', 'Thyrotrophs': '215.5'}",Cell type enriched
